ID,Category,Content,Penalty,Difficulty
1805,ITEM,"[SỰ KIỆN] Thử Thách Tình Bạn: Bạn chọn 1 người. Người đó chọn 1 người khác. Người thứ 3 chọn người thứ 4... Dây chuyền 5 người. Người cuối cùng bị chọn phải uống.","Người thứ 5 uống 1 ly",Chain
1806,GROUP_TRUTH,"Lý do: Ai đang mặc áo có cổ (sơ mi, polo)? Vì lịch sự quá mức quy định.","Team áo có cổ uống 1 ly",Fashion
1807,ITEM,"[SỰ KIỆN] Cặp Đôi Hoàn Hảo: Người ngồi đối diện bạn và người ngồi đối diện của người bên cạnh bạn uống. (Hai cặp đối đỉnh).","2 cặp đối diện uống",Position
1808,ITEM,"[SỰ KIỆN] Xả Kho: Ai còn bia trong ly thì uống hết. Ai ly rỗng thì rót đầy rồi... để đó (không uống).","Người còn bia uống cạn",Clean
1809,GROUP_TRUTH,"Lý do: Ai có tóc rẽ ngôi giữa (bổ luống)? Vì nhìn 'quyển vở' quá.","Team Đan Trường uống 1 ly",Hair
1810,ITEM,"[SỰ KIỆN] Vòng Quay Mặt Trời: Quay chai bia. Chai dừng lại. Người bị chai chỉ và 2 người bên cạnh họ phải đứng lên xoay 1 vòng rồi uống.","3 người uống 1 ly",Fun
1811,ITEM,"[SỰ KIỆN] Luật Nhân Quả: Ai đã từng chỉ định bạn uống trong ván này? Tất cả những người đó phải uống lại 1 ly tạ lỗi.","Những kẻ từng hại bạn uống",Karma
1812,GROUP_TRUTH,"Lý do: Ai dùng điện thoại iPhone đời cũ (có nút Home)? Vì hoài cổ.","Team nút Home uống 1 ly",Tech
1813,ITEM,"[SỰ KIỆN] Cơn Lốc Màu Da Cam: Ai mặc áo màu cam, đỏ, vàng (tông nóng) phải uống. Tông lạnh (xanh, đen, trắng) cổ vũ.","Team màu nóng uống 1 ly",Color
1814,ITEM,"[SỰ KIỆN] Sóng Thần: Bắt đầu từ bạn. Bạn uống. Người bên trái uống. Người bên phải uống. Người đối diện uống. (Hình chữ Thập).","4 người hình chữ thập uống",Position
1815,GROUP_TRUTH,"Lý do: Ai đi tất (vớ) lệch màu hoặc rách? Tự thú đi.","Hội cái bang uống 1 ly",Bựa
1816,ITEM,"[SỰ KIỆN] Vì Sao Đưa Anh Tới: Bạn chỉ lên trời. Ai nhìn theo tay bạn thì người đó uống. Ai không nhìn thì thoát.","Kẻ tò mò uống 1 ly",Trick
1817,ITEM,"[SỰ KIỆN] Chia Rẽ Nội Bộ: Những cặp đôi (người yêu) đang ngồi cạnh nhau phải tách ra ngồi xa nhau. Nếu không tách, uống mỗi người 2 ly.","Cặp đôi uống hoặc tách",Love
1818,GROUP_TRUTH,"Lý do: Ai có hình xăm ở vị trí kín đáo (không lộ ra ngoài)? Tự giác uống.","Hội mực ngầm uống 1 ly",Body
1819,ITEM,"[SỰ KIỆN] Bốc Thăm May Rủi: Viết tên mọi người ra giấy. Bốc 1 tên. Người đó uống 1 ly. Bốc tên mình thì mình uống 2 ly.","Xổ số uống 1 ly",Luck
1820,ITEM,"[SỰ KIỆN] Đại Tiệc: Tất cả mọi người cùng đứng dậy, cụng ly hô 'Một Hai Ba Zô' và uống 50% ly để tăng tình đoàn kết.","Cả làng uống 50%",Party
301,SECRET,"[ĐỌC THẦM] Hãy nhìn vào một người và thì thầm 'Tối nay đi nhà nghỉ không?'. Nếu họ gật đầu hoặc cười, họ dính bẫy uống. Nếu họ chửi bạn, bạn uống.","Thất bại tự uống 1 ly",Chaos
302,GROUP_TRUTH,"Ai đã từng nói dối trong CV xin việc (hoặc phỏng vấn) chưa? Tự thú đi.","Hội chém gió uống 1 ly",Fun
303,DARE,"Diễn lại cảnh bạn đang đi vệ sinh nhưng bị táo bón (rặn) trong 10 giây.","Diễn dở uống 1 ly",Bựa
304,TRUTH,"Nếu phải chọn một người trong bàn để hoán đổi thân xác 1 ngày, bạn chọn ai?","Không chọn uống 1 ly",Fun
305,PARTNER,"Chọn 1 người. Hai bạn phải nắm tay nhau kiểu Vật tay nhưng không được vật, chỉ được giữ yên và nhìn nhau đắm đuối 30s.","Cười hoặc buông tay uống 1 ly",Fun
306,MINI-GAME,"Trò chơi Simon Says (Tôi bảo): Bạn hô lệnh (VD: Tôi bảo giơ tay). Ai làm sai hoặc làm khi không có từ 'Tôi bảo' thì thua.","Người làm sai uống 1 ly",Brain
307,VOTE,"Ai là người Tốt bụng (hay giúp đỡ người khác) nhất bàn? Chỉ tay tôn vinh.","Người tốt được mời 1 ly (người khác uống hộ)",Fun
308,BRAIN,"Kể tên 3 loại vũ khí (Súng, Dao, Kiếm...) trong 5 giây. Vấp là uống.","Chậm uống 1 ly",Skill
309,SKILL,"Dùng 1 tay bóp nát vỏ lon bia rỗng (nếu là lon nhôm).","Không bóp được uống 1 ly",Physical
310,CURSE,"Lời nguyền Tượng Nữ Thần Tự Do: Trong 1 vòng tới, tay trái luôn phải giơ cao cầm ly rượu (như cầm đuốc). Mỏi tay hạ xuống là phạt.","Hạ tay uống 1 ly",Physical
311,BUDDY,"Chọn Đồng Minh Gương: Chọn 1 người. Trong 3 phút tới, hễ bạn gắp đồ ăn thì người đó cũng phải gắp. Bạn uống nước họ cũng phải uống nước.","Quên bắt chước uống 1 ly",Fun
312,ITEM,"[GIỮ LẠI] Thẻ Nghỉ Giải Lao: Dùng thẻ này để được miễn tham gia 1 trò chơi tập thể (Mini-game hoặc Brain).","Không tham gia",Tactical
313,SECRET,"[ĐỌC THẦM] Giả vờ làm rớt đũa. Nhờ người bên cạnh nhặt hộ. Nếu họ nhặt giúp, bạn hô 'Ôsin ngoan quá' và phạt họ uống.","Người nhặt giúp uống 1 ly",Chaos
314,DARE,"Gọi điện cho bạn thân (khác giới) và hỏi: 'Mày thấy tao có hấp dẫn không?'. Mở loa ngoài.","Không dám làm uống 2 ly",Hard
315,TRUTH,"Lần gần nhất bạn khóc là khi nào và vì sao?","Không nói uống 1 ly",Deep
316,PARTNER,"Chọn 1 người. Hai bạn cùng làm động tác Cụng mông (Hip bump) thay vì cụng ly.","Không làm uống 1 ly",Fun
317,MINI-GAME,"Thi Hít đất: Bạn và người bên phải. Ai hít được nhiều cái hơn trong 10 giây thì thắng.","Người thua uống 1 ly",Physical
318,VOTE,"Ai là người có nụ cười giả trân (cười công nghiệp) nhất? Chỉ tay.","Thánh giả trân uống 1 ly",Fun
319,BRAIN,"Vòng tròn: Kể tên các bộ phận trên xe máy (Gương, Phanh, Lốp...). Ai bí uống.","Thua uống 1 ly",Skill
320,SKILL,"Giữ một chiếc thìa trên môi trên (giống ria mép) trong 10 giây.","Rơi uống 1 ly",Skill
321,CURSE,"Lời nguyền Thì Thầm: Trong 1 vòng tới, chỉ được nói thì thầm nhỏ nhẹ. Ai nói to bình thường là phạt.","Nói to uống 1 ly",Hard
322,ITEM,"[GIỮ LẠI] Thẻ Thử Thách: Dùng thẻ này để thách đấu người cầm bài tiếp theo. Nếu họ thua Mini-game với bạn, họ uống gấp đôi.","Thua uống 2 ly",Tactical
323,SECRET,"[ĐỌC THẦM] Hãy khen người đối diện 'Hôm nay trông ngon thế'. Nếu họ nói 'Cảm ơn' hoặc cười tít mắt, họ uống.","Nạn nhân uống 1 ly",Fun
324,GROUP_TRUTH,"Ai đã từng ngủ gật trong lớp học/công ty và bị bắt quả tang? Tự giác uống.","Hội sâu ngủ uống 1 ly",Fun
325,DARE,"Múa bụng (Belly dance) trong 20 giây.","Diễn dở uống 1 ly",Bựa
326,TRUTH,"Nếu người yêu cũ mời đám cưới, bạn có đi không? Đi bao nhiêu tiền?","Không trả lời uống 1 ly",Drama
327,PARTNER,"Chọn 1 người. Hai bạn chụm đầu vào nhau chụp 1 tấm ảnh tình cảm để làm kỷ niệm.","Không làm uống 1 ly",Fun
328,MINI-GAME,"Trò chơi Ai Là Triệu Phú: Bạn hỏi người bên trái 1 câu kiến thức chung khó. Nếu họ trả lời sai, họ uống. Đúng, bạn uống.","Trả lời sai uống 1 ly",Brain
329,VOTE,"Ai là người hay nói đạo lý nhất trên mạng xã hội? Chỉ tay.","Thánh đạo lý uống 1 ly",Fun
330,BRAIN,"Đọc tên 5 loại cá (Cá chép, Cá rô...) trong 5 giây. Vấp là uống.","Chậm uống 1 ly",Skill
331,CURSE,"Lời nguyền Dạ/Thưa: Trong 1 vòng tới, nói chuyện với bất kỳ ai cũng phải bắt đầu bằng 'Dạ/Thưa' (kể cả với người ít tuổi hơn).","Quên 'Dạ' uống 1 ly",Fun
332,PARTNER,"Chọn 1 người. Hai bạn phải kề má vào nhau (má chạm má) và giữ nguyên tư thế đó trong 1 phút.","Tách ra uống mỗi người 1 ly",Fun
333,MINI-GAME,"Thi Gồng Tay: Bạn và người bên phải nắm chặt tay nhau. Ai kêu đau hoặc buông tay trước thì thua.","Người thua uống 1 ly",Physical
334,DARE,"Bỏ 1 viên đá lạnh vào trong áo (sau lưng) và để nó tự trôi xuống dưới.","Không làm uống 2 ly",Hard
335,VOTE,"Ai là người có tính cách Gia trưởng (độc đoán, hay ra lệnh) nhất bàn? Chỉ tay.","Gia trưởng mới lo được cho em uống 1 ly",Fun
336,BRAIN,"Kể tên 5 bộ phim hoạt hình nổi tiếng (Doremon, Conan...) trong 10 giây. Vấp là uống.","Tuổi thơ bất hạnh uống 1 ly",Skill
337,ITEM,"[GIỮ LẠI] Thẻ Chia Sẻ: Khi bị phạt uống, dùng thẻ này để chọn 1 người uống chung với bạn (chia sẻ nỗi đau).","Người được chọn uống cùng 1 ly",Tactical
338,SECRET,"[ĐỌC THẦM] Hãy giả vờ hắt xì hơi thật to vào người bên cạnh. Nếu họ nói 'Chúa phù hộ' hoặc 'Vô duyên thế', họ dính bẫy.","Nạn nhân uống 1 ly",Tactical
339,BUDDY,"Chọn Cặp Đôi Hoàn Cảnh: Chọn người có màu áo giống (hoặc gần giống) bạn nhất. Trong 1 vòng tới, hai bạn là 1 phe. Ai bị phạt người kia uống theo.","Uống 1 ly (Kèm theo)",Fun
340,SKILL,"Thả nhẹ 1 đồng xu (hoặc nắp chai) vào ly nước đầy sao cho nước không tràn ra ngoài.","Làm tràn uống 1 ly",Skill
341,GROUP_TRUTH,"Ai đã từng bắt cá 3 tay hoặc tán tỉnh nhiều người cùng lúc? Tự giác uống.","Trap boy/Trap girl uống 2 ly",Chaos
342,DARE,"Mượn điện thoại người bên phải, quay 1 đoạn story quay mặt họ và khen 'Hôm nay em đẹp lắm' rồi đăng lên Instagram/FB của họ.","Không làm uống 3 ly",Hard
343,TRUTH,"Món quà đắt tiền nhất bạn từng tặng cho người yêu là gì? Giá bao nhiêu?","Không nói uống 1 ly",Fun
344,PARTNER,"Chọn 1 người. Hai bạn cùng làm động tác Plank (chống tay xuống sàn) trong 30 giây.","Sập nguồn uống 1 ly",Physical
345,CURSE,"Lời nguyền Cấm Điện Thoại Trên Bàn: Trong 5 phút tới, không ai được để điện thoại lên mặt bàn. Phải cất túi hoặc cầm tay.","Để lên bàn uống 1 ly",Hard
346,MINI-GAME,"Trò chơi Súng Nước: Ngậm một ngụm nước. Người đối diện tìm cách chọc cười bạn. Nếu bạn phun nước vào mặt họ thì bạn thắng (họ uống bia).","Phun nước thì người kia uống 1 ly bia",Fun
347,VOTE,"Ai là người Pick me boy/Pick me girl (luôn tỏ ra mình khác biệt để gây chú ý) nhất? Chỉ tay.","Pick me uống 1 ly",Fun
348,BRAIN,"Kể tên 3 loại mì gói (Hảo Hảo, Omachi...) trong 5 giây. Vấp là uống.","Không biết ăn mì uống 1 ly",Skill
349,SKILL,"Dùng ngón trỏ và ngón cái búng tay ra tiếng thật to (tách tách) 3 lần liên tiếp.","Không kêu uống 1 ly",Skill
350,ITEM,"[GIỮ LẠI] Thẻ Hủy Diệt: Hủy bỏ tất cả các thẻ bài (Item) mà mọi người đang giữ trên tay. Tất cả thẻ đó mất hiệu lực.","Mọi người nộp lại thẻ",Tactical
351,SECRET,"[ĐỌC THẦM] Trong lúc nói chuyện, hãy cố tình gọi sai tên người đối diện liên tục. Nếu họ cáu hoặc chỉnh lại 3 lần, họ thua.","Nạn nhân uống 1 ly",Tactical
352,GROUP_TRUTH,"Ai chưa từng có nụ hôn đầu (First Kiss)? Tự giác đứng dậy uống.","Hội trong trắng uống 1 ly",Fun
353,DARE,"Ra ban công hoặc cửa sổ hét to: 'Tôi là siêu nhân Gao!'. Quay lại bàn uống.","Ngại không làm uống 2 ly",Chaos
354,TRUTH,"Bạn có bao giờ hối hận vì đã yêu người yêu cũ không? Tại sao?","Không nói uống 1 ly",Deep
355,PARTNER,"Chọn 1 người. Hai bạn cùng chơi trò Đập tay (High-five) liên tục 10 cái thật nhanh mà không được trượt.","Trượt cái nào uống 1 ly",Skill
356,MINI-GAME,"Đoán số tờ tiền: Lấy ví ra. Bạn đoán xem trong ví người bên phải có bao nhiêu tờ tiền (bất kể mệnh giá). Sai lệch quá 3 tờ thì bạn uống.","Đoán sai uống 1 ly",Luck
357,VOTE,"Ai là người Mê trai/Mê gái đầu thai không hết? Chỉ tay vào đứa đó.","Hội mê sắc uống 1 ly",Fun
358,BRAIN,"Kể tên 5 tỉnh thành ở miền Nam Việt Nam (Cần Thơ, Long An...) trong 10 giây.","Dốt địa lý uống 1 ly",Skill
359,SKILL,"Dùng mũi để gõ phím Space (Dấu cách) trên điện thoại của mình.","Không làm được uống 1 ly",Skill
360,CURSE,"Lời nguyền Tượng Phật: Trong 1 vòng tới, phải ngồi khoanh chân (xếp bằng) trên ghế. Ai bỏ chân xuống là phạt.","Bỏ chân uống 1 ly",Physical
361,BUDDY,"Chọn Đệ Tử: Chọn 1 người làm đệ tử. Trong 1 vòng tới, bạn sai gì người đó phải làm nấy (trong khuôn khổ bàn nhậu). Nếu không làm thì uống.","Đệ tử uống 1 ly",Fun
362,ITEM,"[GIỮ LẠI] Thẻ Double Kill: Chọn 2 người bất kỳ và bắt họ uống mỗi người 1 ly.","Hai nạn nhân uống 1 ly",Tactical
363,SECRET,"[ĐỌC THẦM] Giả vờ làm rơi điện thoại xuống đất (nhẹ thôi). Ai cúi xuống nhặt giúp hoặc nhắc 'Rơi điện thoại kìa', người đó dính bẫy.","Người tốt bụng uống 1 ly",Tactical
364,DARE,"Liếm mép ly của tất cả mọi người trong bàn (hoặc liếm ly của người đối diện).","Ghê quá uống 2 ly",Hard
365,TRUTH,"Điều điên rồ nhất bạn từng làm vì ghen tuông là gì?","Không kể uống 2 ly",Drama
366,PARTNER,"Chọn 1 người. Hai bạn đấu mắt (nhìn nhau) và cùng làm mặt xấu (phồng má, trợn mắt). Ai cười trước thua.","Người thua uống 1 ly",Fun
367,MINI-GAME,"Thi Uống bia bằng thìa: Bạn và người bên cạnh thi xem ai uống hết 1 chén nhỏ bằng thìa nhanh hơn.","Người thua uống 1 ly đầy",Skill
368,VOTE,"Ai là người có khả năng ế nhưng vẫn tư vấn tình cảm như chuyên gia? Chỉ tay.","Thầy bói xem voi uống 1 ly",Fun
369,BRAIN,"Kể tên 3 bài hát có chữ 'Mưa' trong tựa đề. Trong 10 giây.","Bí uống 1 ly",Skill
370,SKILL,"Xoay tròn người 5 vòng tại chỗ rồi đi thẳng một đường về ghế ngồi.","Ngã hoặc đi xiêu vẹo uống 1 ly",Physical
371,CURSE,"Lời nguyền Cấm Số 1: Trong 1 vòng tới, cấm nói từ 'Một' hoặc số '1'. Phải dùng từ thay thế (Duy nhất, Single...).","Nói lỡ mồm uống 1 ly",Brain
372,ITEM,"[GIỮ LẠI] Thẻ Đổi Mạng: Nếu bạn bốc phải lá bài DARE quá khó, dùng thẻ này để ép người bên trái làm thay bạn.","Người bên trái làm thay (hoặc uống)",Tactical
373,SECRET,"[ĐỌC THẦM] Hỏi người bên cạnh 'Mày thấy tao có béo không?'. Nếu họ trả lời 'Không' (nịnh) hoặc 'Có' (chê), họ đều thua. Chỉ im lặng mới thắng.","Người trả lời uống 1 ly",Tactical
374,GROUP_TRUTH,"Ai đã từng chôm đồ của bạn bè (kể cả cái bật lửa, cái bút) và không trả? Tự giác uống.","Hội tắt mắt uống 1 ly",Fun
375,DARE,"Cho người bên trái xem 1 tấm ảnh nhạy cảm/xấu hổ nhất trong Album ảnh của bạn.","Không dám uống 2 ly",Hard
376,TRUTH,"Bạn có đang thích thầm ai trong hội bạn chung không?","Không nói uống 2 ly",Chaos
377,PARTNER,"Chọn 1 người. Hai bạn cùng đứng lên và hô to 'Chúng tôi xin thề sẽ không say tối nay'. Sau đó uống.","Nói xong uống 1 ly",Fun
378,MINI-GAME,"Oẳn tù tì Một mất một còn: Chỉ chơi 1 ván duy nhất. Người thua uống 2 ly.","Người thua uống 2 ly",Hard
379,VOTE,"Ai là người thảo mai (gió chiều nào xoay chiều ấy) nhất bàn? Chỉ tay.","Thánh thảo mai uống 1 ly",Fun
380,BRAIN,"Đọc ngược tên của bạn (Ví dụ: Hùng -> Gnùh). Trong 3 giây.","Đọc sai uống 1 ly",Skill
381,CURSE,"Lời nguyền Chân Không Chạm Đất: Trong 1 vòng tới, bạn phải ngồi co chân lên ghế (hoặc gác chân lên người khác), không được để bàn chân chạm sàn nhà.","Chạm đất uống 1 ly",Physical
382,PARTNER,"Chọn 1 người. Hai bạn đóng vai Sếp và Thư ký. Sếp ra lệnh (rót bia, gắp mồi), Thư ký phải làm theo trong 3 phút.","Thư ký bật sếp uống 1 ly",Roleplay
383,MINI-GAME,"Thi Ai nhắn tin nhanh hơn: Soạn tin 'Tôi yêu Việt Nam' gửi vào nhóm chat chung. Ai gửi sau thì thua.","Người thua uống 1 ly",Skill
384,DARE,"Cầm ly bia và đi chào bàn bên cạnh (hoặc người lạ) như thể bạn quen biết họ đã lâu.","Quê độ uống 2 ly",Chaos
385,VOTE,"Ai là người có khả năng trúng số nhưng sẽ giấu tiệt không cho bạn bè biết? Chỉ tay vạch trần.","Kẻ kiệt sỉ uống 1 ly",Fun
386,BRAIN,"Kể tên 5 loại rau thường dùng để ăn lẩu (Rau muống, cải cúc...) trong 10 giây.","Không biết ăn rau uống 1 ly",Skill
387,ITEM,"[GIỮ LẠI] Thẻ Cướp Lượt: Dùng thẻ này để cướp lượt bốc bài của người khác (nếu bạn nghi lá bài đó là Item ngon).","Không uống",Tactical
388,SECRET,"[ĐỌC THẦM] Giả vờ đau bụng và rên rỉ. Nếu ai đó hỏi 'Đau lắm không?' hoặc đưa thuốc/dầu gió, họ dính bẫy.","Người quan tâm uống 1 ly",Tactical
389,BUDDY,"Chọn Đồng nghiệp tồi: Chọn 1 người. Trong 1 vòng tới, hễ bạn bị phạt uống, bạn được quyền đổ 1 ít bia từ ly của bạn sang ly của người đó.","Người đó uống phần thừa",Tactical
390,SKILL,"Dùng 2 ngón tay kẹp 1 tờ giấy ăn ướt và ném dính vào tường (hoặc trán người khác).","Không dính uống 1 ly",Skill
391,GROUP_TRUTH,"Ai đã từng bị đuổi việc (hoặc tự nghỉ việc vì ghét sếp)? Tự giác nâng ly.","Hội thất nghiệp uống 1 ly",Fun
392,DARE,"Mô phỏng lại tiếng rên rỉ (hoặc tiếng ngáy) của bạn khi ngủ.","Ngại không làm uống 2 ly",Bựa
393,TRUTH,"Mức lương hiện tại của bạn là bao nhiêu (con số chính xác)? Nếu không muốn nói, uống.","Không khai uống 3 ly",Deep
394,PARTNER,"Chọn 1 người. Hai bạn cùng làm động tác Hít đất đôi (người này nằm dưới, người kia chống tay lên vai hít đất). Làm 3 cái.","Sập uống mỗi người 1 ly",Physical
395,CURSE,"Lời nguyền Cấm Sờ Tóc: Trong 5 phút tới, cấm ai được đưa tay lên vuốt tóc hay chỉnh tóc. Ai vi phạm phạt.","Vuốt tóc uống 1 ly",Hard
396,MINI-GAME,"Trò chơi Vua Tiếng Việt: Ghép từ. Chủ xị ra từ 'Bao la'. Người kia phải tìm từ láy hoặc từ ghép (La cà -> Cà phê...). Ai bí thua.","Thua uống 1 ly",Brain
397,VOTE,"Ai là người hay bơm đểu (châm dầu vào lửa) nhất mỗi khi có biến? Chỉ tay.","Thánh bơm vá uống 1 ly",Chaos
398,BRAIN,"Kể tên 3 thương hiệu Cafe nổi tiếng tại Việt Nam (Highlands, Trung Nguyên...) trong 5 giây.","Bí uống 1 ly",Skill
399,SKILL,"Đặt ly bia lên mu bàn tay và đưa lên miệng uống (không dùng lòng bàn tay cầm).","Làm đổ uống thêm 1 ly",Skill
400,ITEM,"[GIỮ LẠI] Thẻ Hoán Đổi Vận Mệnh: Đổi toàn bộ số thẻ Item bạn đang có lấy số thẻ Item của người nhiều thẻ nhất bàn.","Không uống",Tactical
401,SECRET,"[ĐỌC THẦM] Cố tình kể sai một kiến thức cơ bản (Ví dụ: 'Mặt trời mọc đằng Tây ấy nhỉ'). Ai lên tiếng chỉnh lưng bạn, người đó thua.","Thánh bắt bẻ uống 1 ly",Tactical
402,GROUP_TRUTH,"Ai đã từng crush thầy cô giáo hoặc sếp của mình? Tự giác uống.","Hội phi công uống 1 ly",Fun
403,DARE,"Tự tát nhẹ vào má mình 3 cái và nói 'Tỉnh lại đi!'. (Hoặc nhờ người bên cạnh tát).","Không làm uống 1 ly",Bựa
404,TRUTH,"Bạn đã bao giờ xem trộm tin nhắn hoặc nhật ký của ai đó trong nhà chưa.","Nói dối uống 2 ly",Deep
405,PARTNER,"Chọn 1 người. Hai bạn chơi Oẳn tù tì lột đồ (Chỉ lột phụ kiện: Nhẫn, đồng hồ, giày, tất...). Ai thua 3 ván lột 1 món.","Không lột uống 1 ly",Hot
406,MINI-GAME,"Đoán dung lượng pin: Đoán xem % pin điện thoại của người đối diện là bao nhiêu. Sai lệch quá 10% thì uống.","Đoán sai uống 1 ly",Luck
407,VOTE,"Ai là người có khả năng ế vì quá kén chọn? Chỉ tay.","Thánh kén cá chọn canh uống 1 ly",Fun
408,BRAIN,"Kể tên 5 loài hoa (Hoa hồng, Hoa lan...) trong 10 giây. Vấp là uống.","Không lãng mạn uống 1 ly",Skill
409,SKILL,"Thử thách Xoay bút: Quay bút trên ngón tay cái 1 vòng mà không rơi.","Rơi uống 1 ly",Skill
410,CURSE,"Lời nguyền Cấm Cười Hở Lợi: Trong 1 vòng tới, cười phải lấy tay che miệng. Ai cười hô hố lộ hết răng lợi là phạt.","Cười vô duyên uống 1 ly",Hard
411,BUDDY,"Chọn Đồng Minh Tóc: Chọn người có kiểu tóc giống bạn nhất (ngắn/dài). Trong 1 vòng tới, ai đụng vào tóc của 1 trong 2 người thì người đụng phải uống.","Kẻ phá đám uống 1 ly",Tactical
412,ITEM,"[GIỮ LẠI] Thẻ Reset: Hủy bỏ mọi kèo cá cược hoặc hình phạt đang treo lơ lửng trên bàn.","Không uống",Tactical
413,SECRET,"[ĐỌC THẦM] Nhìn chằm chằm vào ngực (hoặc quần) của người đối diện. Nếu họ lấy tay che hoặc hỏi 'Nhìn gì?', họ dính bẫy.","Nạn nhân ngại ngùng uống 1 ly",Tactical
414,DARE,"Mở album ảnh, chọn ảnh thứ 10. Đưa cho cả bàn xem (bất kể ảnh gì).","Không dám uống 2 ly",Chaos
415,TRUTH,"Điều hối tiếc nhất trong mối quan hệ cũ là gì?","Không nói uống 1 ly",Deep
416,PARTNER,"Chọn 1 người. Hai bạn cùng làm động tác Chèo thuyền (ngồi dưới đất, chân chạm chân) và hát 'Hò dzo ta nào'.","Không làm uống 1 ly",Fun
417,MINI-GAME,"Thi Ai lì hơn: Bạn và người bên phải nhìn nhau. Ai chớp mắt trước thua. Ai cười trước thua. (Kết hợp).","Người thua uống 1 ly",Skill
418,VOTE,"Ai là người hay quên ví mỗi khi đi thanh toán? Chỉ tay vạch mặt.","Thánh đào mỏ uống 1 ly",Fun
419,BRAIN,"Kể tên 3 con vật sống dưới nước nhưng không phải là Cá (Tôm, Cua, Ốc...). Trong 5 giây.","Bí uống 1 ly",Skill
420,SKILL,"Dùng miệng hút 1 tờ giấy ăn dính vào môi và giữ trong 10 giây không rơi.","Rơi uống 1 ly",Skill
421,CURSE,"Lời nguyền Hàng Xóm: Trong 1 vòng tới, trước khi uống phải cụng ly với 2 người ngồi bên cạnh (Trái & Phải). Quên cụng ai phạt.","Quên cụng uống 1 ly",Fun
422,ITEM,"[GIỮ LẠI] Thẻ Gương Phản Chiếu: Bất kỳ ai phạt bạn, họ sẽ phải chịu chính hình phạt đó. Bạn vô sự.","Kẻ gây sự uống lại đúng hình phạt đó",Tactical
423,SECRET,"[ĐỌC THẦM] Giả vờ say và nói nhảm 'Tao chưa say'. Ai nói câu 'Say rồi thì thôi' hoặc 'Uống nước đi', người đó dính bẫy.","Người quan tâm uống 1 ly",Tactical
424,GROUP_TRUTH,"Ai đã từng ngủ gật khi đang làm chuyện ấy (hoặc khi đang hôn)? Tự thú đi.","Hội yếu sinh lý uống 1 ly",18+
425,DARE,"Cho đá lạnh vào miệng và hôn lên tay người bên phải (hoặc má).","Ghê quá uống 2 ly",Hard
426,TRUTH,"Bạn chấm điểm kỹ năng hôn của người yêu cũ mấy điểm (thang 10)?","Không chấm uống 1 ly",Fun
427,PARTNER,"Chọn 1 người. Hai bạn phải kẹp cổ nhau (khoác vai bá cổ) mỗi khi uống trong vòng này.","Quên kẹp cổ uống 1 ly",Fun
428,MINI-GAME,"Tung nắp chai: Tung nắp chai lên và đoán xem nó ngửa hay úp. Đoán đúng người bên phải uống. Sai bạn uống.","Đoán sai tự uống 1 ly",Luck
429,VOTE,"Ai là người sợ ma nhất hội? Chỉ tay vào kẻ nhát gan.","Kẻ nhát gan uống 1 ly cho đỡ sợ",Fun430,BRAIN,"Đọc bảng cửu chương 9 ngược (9x10, 9x9...). Ai vấp uống.","Dốt toán uống 1 ly",BrainID,Category,Content,Penalty,Difficulty
1771,ITEM,"[SỰ KIỆN] Nhảy Cóc (Lẻ): Bắt đầu từ bạn là số 1. Những người ở vị trí Lẻ (1, 3, 5, 7...) theo chiều kim đồng hồ phải uống.","Team số Lẻ uống 1 ly",Position
1772,ITEM,"[SỰ KIỆN] Nhảy Cóc (Chẵn): Bắt đầu từ bạn là số 1. Những người ở vị trí Chẵn (2, 4, 6, 8...) theo chiều kim đồng hồ phải uống.","Team số Chẵn uống 1 ly",Position
1773,ITEM,"[SỰ KIỆN] Tam Giác Quỷ: Bạn chọn ra 2 người khác để tạo thành một hình tam giác đều (hoặc gần đều) với bạn. Cả 3 cùng uống.","Tam giác uống 1 ly",Position
1774,ITEM,"[SỰ KIỆN] Bắn Tỉa Xa: Người ngồi xa bạn nhất (đối diện) và 2 người ngồi cạnh người đó (tổng 3 người) bị dính đạn.","Phe đối diện uống 1 ly",Position
1775,ITEM,"[SỰ KIỆN] Lây Lan Cục Bộ: Bạn uống. Người bên Trái bạn uống. Người bên Trái của người đó uống. (Tổng 3 người liên tiếp).","3 người liên tiếp uống",Position
1776,ITEM,"[SỰ KIỆN] Phong Tỏa Biên Giới: Chỉ có Bạn và Người ngồi đối diện được AN TOÀN. Tất cả những người còn lại (hai bên sườn) phải uống.","Hai bên sườn uống 1 ly",Chaos
1777,ITEM,"[SỰ KIỆN] Cách 2 ô uống 1 ô: Bắt đầu từ bạn (Uống) -> Bỏ 2 người -> Người thứ 4 Uống -> Bỏ 2 người -> Người thứ 7 Uống.","Theo quy luật uống 1 ly",Math
1778,ITEM,"[SỰ KIỆN] Chia Bàn: Kẻ một đường thẳng tưởng tượng chia đôi bàn nhậu. Phe bên nào đông người hơn thì phe đó uống. Nếu bằng nhau thì phe có Bạn uống.","Phe đông dân uống 1 ly",War
1779,ITEM,"[SỰ KIỆN] Vệ Tinh: Bạn là Trái Đất (không uống). Hai người ngồi cạnh bạn là Mặt Trăng (Uống 1 ly). Những người còn lại là Sao Hỏa (Uống 2 ly).","Mọi người uống trừ bạn",Power
